iter	Passed	Remaining
0	0	312
1	1	284
2	1	280
3	2	272
4	2	267
5	3	263
6	3	264
7	4	267
8	4	267
9	5	267
10	5	264
11	6	262
12	7	288
13	8	284
14	8	285
15	9	283
16	9	280
17	10	277
18	10	274
19	11	273
20	11	270
21	12	270
22	12	268
23	13	267
24	14	266
25	14	265
26	15	264
27	15	263
28	16	262
29	16	261
30	17	260
31	17	259
32	18	258
33	18	257
34	19	256
35	19	255
36	20	254
37	20	253
38	21	253
39	22	253
40	22	253
41	23	252
42	23	254
43	24	253
44	25	252
45	25	253
46	26	252
47	26	252
48	27	251
49	27	251
50	28	250
51	29	250
52	30	256
53	30	255
54	31	254
55	31	253
56	32	253
57	33	252
58	33	252
59	34	252
60	34	251
61	35	251
62	36	250
63	36	249
64	37	248
65	37	248
66	39	253
67	40	255
68	40	255
69	41	254
70	42	254
71	42	254
72	43	253
73	43	252
74	44	252
75	45	251
76	45	250
77	46	249
78	46	249
79	47	248
80	48	248
81	48	247
82	49	247
83	49	246
84	50	245
85	50	245
86	51	244
87	52	243
88	52	243
89	53	243
90	54	243
91	54	242
92	55	242
93	56	242
94	56	242
95	58	244
96	58	244
97	59	243
98	60	243
99	60	242
100	61	241
101	61	241
102	62	240
103	63	239
104	63	239
105	64	238
106	64	237
107	65	236
108	65	236
109	66	235
110	67	234
111	67	234
112	68	233
113	68	233
114	69	232
115	70	231
116	70	231
117	71	230
118	71	230
119	72	229
120	73	228
121	73	228
122	74	227
123	74	226
124	75	226
125	76	225
126	76	225
127	77	224
128	77	223
129	78	223
130	79	222
131	79	222
132	80	221
133	80	221
134	81	220
135	82	219
136	82	219
137	83	218
138	83	217
139	84	216
140	84	216
141	85	215
142	86	214
143	86	214
144	87	213
145	87	212
146	88	212
147	89	211
148	89	211
149	90	210
150	90	209
151	91	209
152	92	208
153	92	208
154	93	207
155	93	207
156	94	206
157	94	205
158	95	205
159	96	204
160	96	203
161	97	203
162	98	202
163	98	202
164	99	201
165	99	200
166	100	200
167	100	199
168	101	198
169	102	198
170	102	197
171	103	196
172	103	196
173	104	195
174	105	195
175	105	194
176	106	193
177	106	193
178	107	192
179	108	192
180	108	191
181	109	190
182	109	190
183	110	189
184	111	189
185	111	188
186	112	187
187	112	187
188	113	186
189	113	185
190	114	185
191	115	184
192	115	183
193	116	183
194	117	183
195	118	183
196	118	182
197	119	181
198	119	181
199	120	180
200	121	180
201	121	179
202	122	179
203	123	178
204	123	177
205	124	177
206	124	176
207	125	176
208	125	175
209	126	174
210	127	174
211	127	173
212	128	172
213	128	172
214	129	171
